"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","external_gene_name"
"22","ENSXETG00000003999",3770.21384504408,9.33166603946418,2.4384276647024,3.82691936059669,0.00012975699941739,0.0233856388383946,"rrm1"
"28","ENSXETG00000005413",7977.81186107315,9.31104339723557,2.61955756065224,3.55443359485379,0.000378794154519467,0.0446080060885208,"klhdc1"
"6","ENSXETG00000001324",10038.7551258438,9.27460661621535,2.33417966091605,3.97339021134968,7.08568259337503e-05,0.0147135739417214,"dgke"
"68","ENSXETG00000013779",10753.5625903519,9.19996428615835,2.46393917330392,3.73384391377732,0.000188579389272194,0.0305306834970847,"ccdc102a"
"56","ENSXETG00000011200",15395.459019001,8.99817505591425,2.23730890557773,4.02187424073685,5.77368834883945e-05,0.0122556158018032,"FNDC1"
"47","ENSXETG00000009374",31953.670374916,8.9914787647633,2.45098641080029,3.66851432759574,0.000243964024510566,0.0347812591361929,"ncf4"
"96","ENSXETG00000020957",3021.54179370956,8.7927098532367,2.37342683674435,3.70464752361937,0.000211684882168633,0.0319533432827072,"grpel2"
"87","ENSXETG00000018479",6186.00079046356,8.47976794418894,2.43628792259092,3.48060993348067,0.000500273475712059,0.0489890803635588,"TMEM14A"
"31","ENSXETG00000005826",1567.09063032487,8.43760203143495,2.37051861815468,3.55939074547458,0.000371716129850734,0.0443829059041777,"entpd5"
"40","ENSXETG00000007440",1473.49831784565,8.42860423012351,2.23759076160727,3.76682116084051,0.000165339350500795,0.0277073943155017,"upf3b"
"41","ENSXETG00000007879",3814.75432903451,8.33133887391143,2.278158738713,3.65704932335754,0.000255135300741705,0.035839005774776,"EXOSC3"
"20","ENSXETG00000003846",7801.03684726369,8.31048867951894,2.24545334355776,3.70102932815855,0.000214726653637646,0.0319533432827072,"chrnb2"
"65","ENSXETG00000013306",18612.6580677198,8.30102099313944,2.3704909164898,3.50181514529131,0.000462100110212755,0.0476097680185839,"ggcx"
"93","ENSXETG00000019513",17066.9019026375,7.5325739260217,2.11141230082289,3.5675523549266,0.000360331399251971,0.0443829059041777,"col6a2"
